isosmiles,Formula,SMILES,Ref
CCCCCCCCC(C(O)c1ccccc1)C(O)(C(F)(F)F)C(F)(F)F,C19H26F6O2,CCCCCCCCC(C(O)C1=CC=CC=C1)C(O)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C16H8F26O,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
Nc1ccc2c(c1)C(F)(F)OC(F)(F)O2,C8H5F4NO2,NC1=CC2=C(OC(F)(F)OC2(F)F)C=C1,EPA_Dashboard
O=C(O)c1ccc(OCC(F)(F)C(F)(F)C(F)(F)F)cc1,C11H7F7O3,OC(=O)C1=CC=C(OCC(F)(F)C(F)(F)C(F)(F)F)C=C1,EPA_Dashboard
CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,C7H3F13,CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
OCCCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,C7H7F9O,OCCCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,EPA_Dashboard
OCC1(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,C8H6F10O2,OCC1(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,EPA_Dashboard
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,C18H2F34O2,[H]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(O)=O,EPA_Dashboard
O=C(C(F)(F)F)C(F)(F)C(F)(F)Cl,C4ClF7O,FC(F)(F)C(=O)C(F)(F)C(F)(F)Cl,EPA_Dashboard
NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H2F19NO,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
C=CCOC(=O)C(F)(CC=C)C(F)(F)F,C9H10F4O2,FC(F)(F)C(F)(CC=C)C(=O)OCC=C,EPA_Dashboard
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(Cl)CCl,C7H3Cl2F11,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(Cl)CCl,EPA_Dashboard
Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2c(F)c(F)c(F)c(F)c2F)c1,C25H14F12N2O2,CC1=CC(=CC(C)=C1NC(=O)C1=CC=CC(NC(=O)C2=C(F)C(F)=C(F)C(F)=C2F)=C1)C(F)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
N=C(NC(=N)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1,C14H8F13N3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=N)NC(=N)C1=CC=CC=C1,EPA_Dashboard
CCN(CC)C(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,C13H10F17NO3,CCN(CC)C(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,EPA_Dashboard
O=C(CCF)C(F)(F)C(F)(F)F,C5H4F6O,FCCC(=O)C(F)(F)C(F)(F)F,EPA_Dashboard
CCCCCCCCCCOC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,C16H21F11O3,CCCCCCCCCCOC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,EPA_Dashboard
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1OCOO1,C10H3F17O3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1OCOO1,EPA_Dashboard
O=S1(=O)OC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)F,C5F10O3S,FC(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)OS1(=O)=O,EPA_Dashboard
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO,C8H10F8O2,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO,EPA_Dashboard
FCC(F)(F)OC(F)(F)F,C3H2F6O,FCC(F)(F)OC(F)(F)F,EPA_Dashboard
COC(=O)C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7H4ClF9O2,COC(=O)C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
O=C(CC(=O)C(F)(F)C(F)(F)C(F)(F)F)c1ccco1,C10H5F7O3,FC(F)(F)C(F)(F)C(F)(F)C(=O)CC(=O)C1=CC=CO1,EPA_Dashboard
O=C(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)F,C4F8O3S,FC(=O)C(F)(F)C(F)(F)C(F)(F)S(F)(=O)=O,EPA_Dashboard
COc1ccc(C2C(F)(F)C2(F)F)cc1,C10H8F4O,COC1=CC=C(C=C1)C1C(F)(F)C1(F)F,EPA_Dashboard
Cc1ccc(S(=O)(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)COS(=O)(=O)c2ccc(C)cc2)cc1,C20H18F8O6S2,CC1=CC=C(C=C1)S(=O)(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)COS(=O)(=O)C1=CC=C(C)C=C1,EPA_Dashboard
FC1=NC(F)(F)C(F)(F)N1C(F)(F)F,C4F8N2,FC1=NC(F)(F)C(F)(F)N1C(F)(F)F,EPA_Dashboard
FC(F)(F)C(F)(C1=NS1(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,C7F15NS,FC(F)(F)C(F)(C1=NS1(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,EPA_Dashboard
CC(=O)C=C(S)C(F)C(F)(F)F,C6H6F4OS,CC(=O)C=C(S)C(F)C(F)(F)F,EPA_Dashboard
FC(F)(Cl)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)Cl,C6Cl5F9,FC(F)(Cl)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)Cl,EPA_Dashboard
FC1=C(F)C(F)(C(F)(F)F)C1(F)F,C5F8,FC1=C(F)C(F)(C(F)(F)F)C1(F)F,EPA_Dashboard
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C6H3ClF8,FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C=C,EPA_Dashboard
N#Cc1ccc(CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)cc1,C14H6F13N,FC(F)(F)C(F)(F)C(F)(F)C(CC1=CC=C(C=C1)C#N)(C(F)(F)F)C(F)(F)F,EPA_Dashboard
FC(F)(F)N1C(F)(F)C(F)(F)C1(F)F,C4F9N,FC(F)(F)N1C(F)(F)C(F)(F)C1(F)F,EPA_Dashboard
Cc1c(N)ccc(SC(F)(F)C(F)F)c1C,C10H11F4NS,CC1=C(N)C=CC(SC(F)(F)C(F)F)=C1C,EPA_Dashboard
CC(CNC(=O)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1,C13H12F7NO,CC(CNC(=O)C(F)(F)C(F)(F)C(F)(F)F)C1=CC=CC=C1,EPA_Dashboard
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C14H12F18,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,EPA_Dashboard
